Sample_idx,Station,Depth,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err
45.0,28.0,296.7734392,4.097550592941213e-08,1.8091381212630596e-07,0.00037063786419295585,9.005151375259633e-08,1.3591574441086339e-08,7.148230979767035e-10,2.4136939340978136e-09,8.381922847166191e-06,2.4353246933139575e-09,3.7854648363319427e-10
46.0,28.0,494.0627661,4.251607017509173e-08,1.8969516042130143e-07,0.00038110773024858637,9.23496981556665e-08,1.3808498354292744e-08,4.658537104511424e-10,1.5661056694776593e-09,6.892776090696792e-06,2.012914664786222e-09,3.0826888929325645e-10
47.0,28.0,691.5625298,4.023614482427773e-08,1.7997852863914944e-07,0.0003771808296690815,9.220543757502414e-08,1.3966284183110297e-08,4.3451124434186754e-10,1.5386314700516204e-09,6.1244358531920695e-06,1.798640223336016e-09,2.8865787133383007e-10
48.0,28.0,986.8709085,4.17479422709356e-08,1.9284887941455155e-07,0.0003863852440876785,9.336912052922603e-08,1.3625559022528965e-08,5.801721767034049e-10,2.222141943236014e-09,1.0182177972687357e-05,3.0079009721107667e-09,4.665236194950651e-10
49.0,28.0,1478.721042,4.0785829857198104e-08,1.8250797280691002e-07,0.0003825112997176699,9.365835546458338e-08,1.422373936480611e-08,5.645241082428692e-10,2.0345504992569386e-09,8.759067907099301e-06,2.581615518534389e-09,4.1965171417163945e-10
4.0,5.0,692.0560526,4.043884776384714e-08,1.7955917419068741e-07,0.00037323140594231136,9.102250408652485e-08,1.3783585826195895e-08,5.152904733646147e-10,1.7767761042738267e-09,6.7497463170385105e-06,1.9732816325187526e-09,3.1299371974276327e-10
50.0,28.0,1969.18078,4.1367697576065655e-08,1.8386977532065647e-07,0.00038359870891702564,9.391386442396098e-08,1.4311030411475624e-08,3.548676588044924e-10,1.2476370119164683e-09,5.272834127666234e-06,1.5510492615999174e-09,2.5136643130128104e-10
51.0,28.0,2458.645822,3.842190318226937e-08,1.7898808725147552e-07,0.0003863620003831695,9.50151934684694e-08,1.4214562125690573e-08,5.636763365126389e-10,2.0512903911620594e-09,9.951146706096348e-06,2.9492752972719465e-09,4.518928484233031e-10
52.0,28.0,2946.913091,4.191065431523258e-08,1.8404491170505993e-07,0.0003849738866312345,9.444969874695103e-08,1.4534831224442014e-08,5.220463501435941e-10,1.7578195786188344e-09,6.617479712328147e-06,1.9379731965631306e-09,3.127613756950358e-10
53.0,28.0,3936.544852,4.227466880571002e-08,1.866318047963476e-07,0.0003859836326199991,9.442905832153318e-08,1.4424269995960385e-08,5.312999198731795e-10,1.816996928508327e-09,6.900359880239748e-06,2.0219880054435236e-09,3.2469187985998054e-10
54.0,46.0,29.77446549,4.556930834438959e-08,2.066135986036465e-07,0.00043668966494076047,1.0802617289386755e-07,1.6632562955536558e-08,5.89802142014333e-10,2.045166441029054e-09,9.673716572071926e-06,2.868966199894871e-09,4.5629249794043345e-10
55.0,46.0,98.7922838,4.341650187395626e-08,1.895521475649047e-07,0.0004004605806358147,9.880340929194856e-08,1.5413321860679184e-08,1.2354254845368827e-09,4.2301953151111595e-09,2.064325102425792e-05,6.089432777800494e-09,1.0178223147215476e-09
56.0,46.0,296.5428446,4.1699051959033495e-08,1.8140260243487528e-07,0.0003690093427266155,8.958653854941625e-08,1.3604910748894853e-08,7.401613839549946e-10,2.492242864088785e-09,8.724034452475098e-06,2.535575205991248e-09,4.057352381648874e-10
57.0,46.0,494.3120733,4.0460914370237095e-08,1.7939137084577848e-07,0.0003707883515291657,9.024897658717623e-08,1.3631573078934592e-08,4.0932023159225204e-10,1.4222929936589891e-09,5.501124376028214e-06,1.6081739060451286e-09,2.5627511966887334e-10
58.0,46.0,691.4833316,4.15086039519551e-08,1.8452631892801987e-07,0.00037743091842402135,9.179539744932782e-08,1.3831922980871463e-08,4.128348274374824e-10,1.4441182973225035e-09,5.6033784970126265e-06,1.640208303928671e-09,2.609120253347695e-10
59.0,46.0,985.5203409,4.2381952835324483e-08,1.892343907474225e-07,0.0003848602962825994,9.363801271235768e-08,1.4089647867070884e-08,4.0924493302307467e-10,1.4340214495761088e-09,5.977586736664103e-06,1.754076868423323e-09,2.776864038223548e-10
5.0,5.0,987.4908462,4.106369935316049e-08,1.8243969863883257e-07,0.0003791269187061279,9.2612308480676e-08,1.4061228314701025e-08,4.171423201572515e-10,1.4564801032603342e-09,5.839107127206521e-06,1.7130326272983168e-09,2.752137882944055e-10
60.0,46.0,2458.666699,4.2869320139091275e-08,1.849627409634426e-07,0.0003850450674925298,9.450886639270506e-08,1.4682194770155925e-08,5.829806547500374e-10,1.9710320947879815e-09,6.759410304879911e-06,1.9783974470730447e-09,3.3153948678988216e-10
61.0,46.0,2946.955137,4.304411307459918e-08,1.8977981897963807e-07,0.0003867609840349056,9.431840502649768e-08,1.4342603445486206e-08,3.3724078664695263e-10,1.1807393514899314e-09,4.976350902910358e-06,1.4620715600183188e-09,2.378832550617324e-10
6.0,5.0,1478.968168,4.105648325794031e-08,1.815255750950968e-07,0.0003831361890498244,9.408294393551107e-08,1.444939136634605e-08,4.1770751431148235e-10,1.4500983680465273e-09,6.410140315196191e-06,1.886217330823253e-09,3.079943477558728e-10
7.0,5.0,1969.315623,4.1256450524210334e-08,1.8325677874383913e-07,0.0003856957313493009,9.468066875482588e-08,1.4499588079136328e-08,4.353696499101717e-10,1.5355618563935068e-09,5.985915445749759e-06,1.7616162605529397e-09,2.8846932398038247e-10
8.0,5.0,2458.758942,4.2877762699871414e-08,1.89072136336599e-07,0.00038902429656161323,9.514701447329415e-08,1.4538421750981096e-08,3.2868401813487426e-10,1.1520396106301077e-09,4.489853085077402e-06,1.3196321398825206e-09,2.1621906100519617e-10
9.0,5.0,2947.597802,4.301313713206835e-08,1.88701490137421e-07,0.0003889424418162482,9.520981373276534e-08,1.4607284511506184e-08,6.119102227555207e-10,2.1131695175128557e-09,8.271494875512123e-06,2.428861869197765e-09,3.9834038550446675e-10
