Sample_idx,Station,Depth,He,Ne,Ar,Kr,Xe,He err,Ne err,Ar err,Kr err,Xe err,He sat,Ne sat,Ar sat,Kr sat,Xe sat,He sat err,Ne sat err,Ar sat err,Kr sat err,Xe sat err,He3/He4,He3/He4 err,T,S,p
51,28,2458.645822,4.4173425027E-08,1.7752218862E-07,0.00038956392718,9.4451536812E-08,1.4109723073E-08,1.4695639915E-09,1.1674887461E-09,0.0000019820386573,8.7876049183E-10,1.1506579848E-10,8.4657420941,-2.5320084688,-0.34716577845,-2.1055280788,-5.07305255,3.6084444165,0.64100597284,0.50701760598,0.91079295474,0.77413603011,0.9741510333,0.013485160027,-0.513033237,34.9537185,1
52,28,2946.913091,4.2076997016E-08,1.8334104853E-07,0.00038468289758,9.538152095E-08,1.4476368674E-08,4.1828830442E-10,1.5450780468E-09,0.0000019580444481,8.5850981356E-10,1.1196299494E-10,3.3144629755,0.65426619957,-1.6167751748,-1.1676677795,-2.6381034458,1.02705123,0.84824810518,0.50077278812,0.88956986913,0.75301546799,0.98370759119,0.014255147947,-0.521526884,34.95513869,1
53,28,3936.544852,4.2192015142E-08,1.8700158053E-07,0.00038606542746,9.4010556204E-08,1.4458124907E-08,4.1762314535E-10,1.5703667198E-09,0.0000019610002991,8.6278038128E-10,1.2230926567E-10,3.5949324779,2.6597193471,-1.2728269079,-2.5998510475,-2.7750857248,1.0253987964,0.86209649285,0.50147980676,0.89388831471,0.82247925967,0.97473111759,0.01318701608,-0.52522274,34.95515806,1
54,46,29.77446549,4.5136502785E-08,2.0687451624E-07,0.00043557750328,1.0817613928E-07,1.6657252396E-08,9.8758268654E-10,1.1724780166E-09,0.0000026538516987,9.551352938E-10,1.3329734434E-10,7.0842607982,8.9295822133,4.5422592183,4.5476301991,3.511022999,2.3429941498,0.61736719838,0.63694669748,0.92309757167,0.82833255735,0.98827769394,0.014526368354,-1.467667146,30.06290492,1
55,46,98.7922838,4.2313440672E-08,1.9033188388E-07,0.00039740524766,1.0767610044E-07,1.5975661654E-08,1.4149771615E-09,1.6224339659E-09,0.0000028554707361,3.3511486485E-09,6.0168142125E-10,2.5888472482,2.5794985152,-1.8063486852,7.2099450895,2.4811721842,3.4306091299,0.87441189149,0.70554956043,3.3366407321,3.8596847297,1.0451488186,0.041606370482,-1.425275557,33.6358462,1
56,46,296.5428446,4.1771066591E-08,1.7917623299E-07,0.00037237820082,8.9333891429E-08,1.3534711897E-08,3.0654169818E-10,2.5230933969E-09,0.0000032595328249,8.519447895E-10,1.5685974005E-10,3.2026451317,-0.20259244893,-1.2900822094,-3.260894844,-3.8789818824,0.7573642877,1.4053101565,0.86403612367,0.92256561603,1.1139888333,0.9972676763,0.015053264258,0.89098285,34.82599779,1
57,46,494.3120733,4.0423844405E-08,1.7954633559E-07,0.00037066051792,9.0514283556E-08,1.3636191676E-08,4.2601551498E-10,1.1924295296E-09,0.0000009503647644,9.1461081218E-10,9.3927684752E-11,-0.17948074103,-0.14422228591,-2.1307191752,-2.4614700918,-3.7454474246,1.0519803483,0.66317687665,0.25093451154,0.98558802604,0.66301262738,1.0479678102,0.012867677899,0.725210987,34.86986224,1
58,46,691.4833316,4.151301858E-08,1.8449107936E-07,0.00037748093505,9.1711798337E-08,1.3832438863E-08,4.3596998269E-10,1.2241277951E-09,9.6783557064E-07,6.9281869426E-10,9.6657168941E-11,2.2901298108,2.1212385961,-1.4729584892,-2.5600064428,-4.0459025002,1.0742515878,0.67759073809,0.2526166664,0.73609121541,0.67050008351,1.0570989818,0.021062803267,0.278402995,34.87472725,1
59,46,985.5203409,4.2182121779E-08,1.8944129851E-07,0.0003848397134,9.3207343785E-08,1.4112992595E-08,5.9005377535E-10,1.0367489692E-09,9.1188606183E-07,9.5149313659E-10,9.5797569534E-11,3.765946926,4.4704576512,-0.46552053508,-2.0750941683,-3.4431037441,1.4515032946,0.57173193032,0.23584911155,0.99965165851,0.65541846784,1.0691136302,0.013546550829,-0.076054039,34.89054633,1
60,46,2458.666699,4.2906529257E-08,1.8468688681E-07,0.00038485597906,9.5753269213E-08,1.4636461895E-08,3.1696295593E-10,2.5954508582E-09,8.0117400979E-07,9.1152059025E-10,1.3039449564E-10,5.1875363702,1.0744685083,-2.2876763927,-1.6569688072,-2.6244389568,0.77705078999,1.4204247013,0.20341264881,0.93617375758,0.86750727467,1.0533345153,0.022030620878,-0.787107065,34.9231682,1
61,46,2946.955137,4.257170699E-08,1.9093280867E-07,0.00038559415208,9.5617060467E-08,1.4590595689E-08,3.1275686117E-10,7.3662674505E-10,8.0404722128E-07,8.7898734082E-10,1.1943268534E-10,4.3190965134,4.3857451347,-2.3430204439,-2.0949248423,-3.2931509327,0.76638959282,0.40272456161,0.20363592815,0.9000205742,0.79160295585,1.0264783078,0.014935818046,-0.882126789,34.92914867,1
