Sample_idx,Station,Depth,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err
28.0,16.0,1969.221408,4.0871773040865635e-08,1.831772042800927e-07,0.0003872048669160452,9.511094527259315e-08,1.4515388479553589e-08,4.6305296944128413e-10,1.6229004882364362e-09,6.595240787961797e-06,1.940592383932784e-09,3.1513087871087636e-10
29.0,16.0,2946.896201,4.1234477102513645e-08,1.8279142536615852e-07,0.0003872321663918726,9.525972388958776e-08,1.46579316627849e-08,4.724992654486073e-10,1.6416248407708325e-09,6.659574376554669e-06,1.960896990491133e-09,3.1865599200269627e-10
2.0,5.0,296.9473792,4.0383682159975365e-08,1.7985303634639546e-07,0.0003635291327245099,8.776892489557251e-08,1.3059692553434328e-08,4.0222666406986104e-10,1.3823381746490798e-09,5.287017519391038e-06,1.5352110114878434e-09,2.4284033677395485e-10
30.0,16.0,3434.23702,4.143401280310904e-08,1.8380572585042027e-07,0.0003900978382499708,9.607730633607151e-08,1.4809671357483328e-08,6.743805653668259e-10,2.2736449269655436e-09,9.552732716285004e-06,2.8101348748344125e-09,4.4787004118148704e-10
31.0,16.0,3920.302221,4.102227255808929e-08,1.8443721009665487e-07,0.000389894737684394,9.582079891701672e-08,1.461456944068708e-08,4.760534189441825e-10,1.6854914837064997e-09,6.205411578522088e-06,1.8255158981022918e-09,2.985301975266667e-10
32.0,16.0,4335.690235,4.220854659070564e-08,1.8641434281911296e-07,0.000387853145799556,9.506570875436254e-08,1.4565591476504135e-08,5.419784533899782e-10,1.8284764720831914e-09,6.967496792977717e-06,2.0411882630438073e-09,3.2490853142124827e-10
33.0,20.0,29.912123,4.089832757961786e-08,1.923013725040834e-07,0.0004236910788210148,1.0541353744127495e-07,1.6095986371004044e-08,5.912147203423162e-10,2.019321549605547e-09,9.874407618606177e-06,2.924548582292127e-09,4.686273031616475e-10
34.0,20.0,242.4192417,4.068727440305951e-08,1.7981090458150492e-07,0.0003647023025657767,8.822711242865114e-08,1.3216672068591997e-08,8.97483679497269e-10,3.113312824914355e-09,1.0912258901208338e-05,3.1718069842279168e-09,5.067953625106706e-10
35.0,20.0,493.9807019,4.080772870030116e-08,1.7960693385057105e-07,0.00037116022811612375,9.041046536388559e-08,1.372534227794642e-08,4.5089727315120664e-10,1.5584160664964163e-09,6.44144049585193e-06,1.8850985110268717e-09,3.033351675491589e-10
36.0,20.0,691.2720548,4.2231517729043506e-08,1.8879896017905642e-07,0.0003791280964945741,9.178687042209132e-08,1.370535693468556e-08,4.133070955181292e-10,1.3880420665167507e-09,6.127213912286698e-06,1.786589259827737e-09,2.8355546606498554e-10
