Sample_idx,Station,Depth,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err
53.0,28.0,3936.544852,4.22386551192683e-08,1.8676111636706354e-07,0.0003860556626864518,9.442134591721384e-08,1.4418536231738302e-08,5.745929069170437e-10,1.7167244707685998e-09,5.324910186660776e-06,1.5135590769446615e-09,2.530748056082836e-10
54.0,46.0,29.77446549,4.518771198823651e-08,2.0680328275254247e-07,0.00043642618585446806,1.0779057689344786e-07,1.6662236353478327e-08,7.338206061931193e-10,1.925461306365426e-09,7.830017154364402e-06,2.2306678879133443e-09,3.7047585501949953e-10
55.0,46.0,98.7922838,4.325736685776747e-08,1.8959850925154914e-07,0.0004005732976974127,9.882245161494243e-08,1.5310108648283774e-08,1.3272858560052545e-09,3.635128777464577e-09,1.6130084428010694e-05,4.642665362140148e-09,7.915876871982492e-10
56.0,46.0,296.5428446,4.172379526443768e-08,1.809231250378718e-07,0.0003688986853276687,8.96445023419087e-08,1.360313180554361e-08,8.054454821066348e-10,2.4364751488646615e-09,6.863616623367541e-06,1.9375859972115743e-09,3.2124319329022484e-10
57.0,46.0,494.3120733,4.0426298090523433e-08,1.7950528695075454e-07,0.0003707413462780901,9.020136863974056e-08,1.364063777300546e-08,4.6273257571901895e-10,1.3674284434353497e-09,4.444206461733753e-06,1.259507618720331e-09,2.0842396910547654e-10
58.0,46.0,691.4833316,4.144474959758414e-08,1.84753166846165e-07,0.00037732898629853987,9.169980935752473e-08,1.3856320165260052e-08,4.734759412554528e-10,1.3940052396777165e-09,4.48719162996968e-06,1.2710269964563921e-09,2.104368861387669e-10
59.0,46.0,985.5203409,4.213881040855494e-08,1.8952615474690537e-07,0.00038473546945700163,9.347949597586558e-08,1.411661240705949e-08,4.882421357053091e-10,1.3712687935001709e-09,4.839937481011888e-06,1.3707983656422831e-09,2.25963860966593e-10
5.0,5.0,987.4908462,4.111475178325796e-08,1.822900910736397e-07,0.0003788809333613266,9.256398792970925e-08,1.4089221885756654e-08,4.2994305395861004e-10,1.2943155602477871e-09,4.205132602577101e-06,1.1989447874765011e-09,2.014344298461138e-10
60.0,46.0,2458.666699,4.291200295799499e-08,1.8398903518149318e-07,0.00038505522438125726,9.472175841023831e-08,1.4660875343193637e-08,6.48908834582995e-10,2.0022788128687328e-09,5.8844993823407264e-06,1.686017234865849e-09,2.8975242628141553e-10
61.0,46.0,2946.955137,4.28749754398808e-08,1.9004610682997335e-07,0.0003867884931175522,9.423920425590562e-08,1.4324004519205687e-08,3.5866821778734743e-10,1.0421309194966372e-09,3.6920631862967197e-06,1.0541891933076851e-09,1.7758219707420342e-10
6.0,5.0,1478.968168,4.1139577669017106e-08,1.8142330434552503e-07,0.0003831423789156301,9.412792935326973e-08,1.4447229322173126e-08,4.325446747011871e-10,1.2493387421587161e-09,4.7140192110816265e-06,1.3501740613546141e-09,2.2770205908931874e-10
7.0,5.0,1969.315623,4.126430298641787e-08,1.8322937244057075e-07,0.00038567926900597477,9.468113720933021e-08,1.4504656176295915e-08,4.5922389417200417e-10,1.4044171552672966e-09,4.486536093820838e-06,1.2838574656514258e-09,2.1767277684831948e-10
8.0,5.0,2458.758942,4.292021730363193e-08,1.889109324375325e-07,0.00038896228932132083,9.516258718693885e-08,1.4559664862409032e-08,3.399330507037907e-10,1.0352800499095376e-09,3.2677607362331972e-06,9.347213446144827e-10,1.5901894127916013e-10
9.0,5.0,2947.597802,4.303370399208732e-08,1.886011639809983e-07,0.00038897908207135944,9.524820150492019e-08,1.4600803289001262e-08,6.478462540730918e-10,1.9561831781134834e-09,6.276709037300022e-06,1.7954467285463756e-09,3.052758813141723e-10
