,Sample_idx,Station,Event,Date/Time,Latitude,Longitude,Bottle,Press [dbar],Depth,Temp [°C],QF water temp,Tpot [°C],QF Tpot,Tcon [°C],QF Tcon,Sal,QF sal,ASAL [g/kg],QF ASAL,Density [kg/m**3],QF rho,DO [ml/l],O2 [µmol/kg],QF O2,F chl [µg/l],QF F chl,fCDOM,QF fCDOM,He [cm**3/g],Ne [cm**3/g],Ar [cm**3/g],Kr [cm**3/g],Xe [cm**3/g],He std dev [±],Ne std dev [±],Ar std dev [±],Kr std dev [±],Xe std dev [±],ΔHe [%],ΔNe [%],ΔAr [%],ΔKr [%],ΔXe [%],ΔHe std dev [±],ΔNe std dev [±],ΔAr std dev [±],ΔKr std dev [±],ΔXe std dev [±],3He/4He [atm],3He/4He std dev [±],sigma0 [kg/m**3]
20,12,8,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,19,100.2,99.10104584,-0.8923,1,-0.895010633,1,-0.891988174,1,34.39143464,1,34.55559696,1,1028.13836,1,7.222337472,320.2738643,1,,9,0.014866,1,0.00000004123,0.0000001882,0.0003934,0.00000009823,0.0000000147,2.8E-10,0.0000000011,0.0000012,0.0000000011,1.2E-10,0.7,2.5,-0.8,0.1,-3.1,0.7,0.6,0.3,1.1,0.8,1.037,0.017,27.6593280862251
21,11,8,SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,21,30.1,29.78710329,-1.6749,1,-1.675421696,1,-1.670598454,1,33.47240735,1,33.63263136,1,1027.085634,1,8.679931263,385.9606212,1,,9,0.013676,1,0.00000004088,0.0000001886,0.0004144,0.0000001042,0.00000001585,2.8E-10,0.0000000011,0.0000013,0.0000000012,1.4E-10,-1.1,1.3,1.6,2.8,0.5,0.7,0.6,0.3,1.2,0.9,0.985,0.014,26.9408188375101
22,32,16,SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,1,4428.3,4335.690235,-0.6224,1,-0.924142071,1,-0.922729045,1,34.94214988,1,35.11124834,1,1048.285843,1,6.657282865,295.6815073,1,,9,0.00899454,1,0.00000004241,0.0000001851,0.0003903,0.00000009562,0.00000001449,3.9E-10,0.0000000016,0.0000034,9.4E-10,1.2E-10,3.9,1.2,-1.3,-2.2,-4.1,0.9,0.9,0.9,1,0.8,1.014,0.015,28.1081912145251
23,31,16,SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,3,4000.1,3920.302221,-0.66945,1,-0.927063281,1,-0.92564456,1,34.94150323,1,35.11058082,1,1046.424966,1,6.663374405,295.8456418,1,,9,0.00899454,1,0.0000000412,0.0000001824,0.0003903,0.00000009659,0.00000001448,2.9E-10,0.0000000016,0.000001,0.0000000012,1.3E-10,0.9,-0.3,-1.3,-1.2,-4.2,0.7,0.9,0.3,1.2,0.9,1.049,0.015,28.1077750851985
24,30,16,SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,5,3500.2,3434.205874,-0.71245,1,-0.92249054,1,-0.921061539,1,34.93618206,1,35.10519697,1,1044.222339,1,6.674184742,296.0285171,1,,9,0.00894218,1,0.00000004099,0.0000001843,0.0003886,0.00000009717,0.00000001481,0.0000000014,0.0000000016,0.000002,9.9E-10,1.2E-10,0.4,0.7,-1.7,-0.6,-2,3.4,0.9,0.5,1,0.8,1.054,0.016,28.1032465956955
25,29,16,SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,7,3000.1,2946.896201,-0.7323,1,-0.899363959,1,-0.897944191,1,34.92966108,1,35.09860558,1,1041.990488,1,6.699666251,296.7449364,1,,9,0.00904452,1,0.00000004114,0.0000001832,0.0003866,0.00000009559,0.00000001468,4.3E-10,0.0000000012,0.0000014,7.5E-10,1.2E-10,0.8,0.1,-2.1,-2.2,-2.8,1.1,0.7,0.4,0.8,0.8,1.025,0.013,28.0969683357362
26,28,16,SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,9,2000.1,1969.221408,-0.60615,1,-0.702339256,1,-0.701138066,1,34.92139936,1,35.09013213,1,1037.438125,1,6.702154344,295.8247946,1,,9,0.00925158,1,0.00000004076,0.0000001835,0.0003871,0.00000009472,0.00000001456,4.3E-10,0.0000000012,0.000001,9.9E-10,1.3E-10,0,0.5,-1.5,-2.5,-2.8,1.1,0.7,0.3,1,0.8,1.023,0.013,28.0816065820479
27,27,16,SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,11,1000.2,987.0798577,-0.06285,1,-0.106570165,1,-0.10602682,1,34.90282231,1,35.07034143,1,1032.750267,1,6.864909976,302.3033323,1,,9,0.0099513,1,0.00000004246,0.0000001875,0.0003787,0.00000009326,0.00000001414,4.2E-10,0.0000000026,0.0000012,8.7E-10,1.1E-10,4.4,3.4,-2.1,-2.1,-3.4,1,1.4,0.3,0.9,0.8,1.009,0.015,28.0366790016108
28,26,16,SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,13,699.9,691.226781,0.3397,1,0.308601011,1,0.308698542,1,34.89103853,1,35.05817298,1,1031.305943,1,6.851010971,301.2273619,1,,9,0.00974186,1,0.00000004037,0.0000001813,0.0003765,0.00000009206,0.00000001373,4.3E-10,0.0000000012,0.0000014,0.0000000016,2.3E-10,-0.5,0.4,-1.6,-2.1,-4.6,1.1,0.7,0.4,1.7,1.6,1.027,0.039,28.0038872048556
29,25,16,SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,15,500.1,494.1225872,0.9161,1,0.892326665,1,0.891703336,1,34.89564116,1,35.06266393,1,1030.326548,1,6.813260587,298.9134208,1,,9,0.00959668,1,0.00000004228,0.0000001869,0.0003733,0.00000008999,0.00000001358,4.4E-10,0.0000000012,0.0000014,0.0000000016,2.2E-10,4.5,4.2,-1,-2.5,-3.5,1.1,0.7,0.4,1.7,1.5,0.914,0.038,27.9712560574997
30,24,16,SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,17,300.3,296.8147005,1.22555,1,1.211038615,1,1.210173424,1,34.87360805,1,35.04040822,1,1029.345427,1,6.72257387,294.8301397,1,,9,0.0098085,1,0.00000003993,0.0000001808,0.0003661,0.00000008893,0.00000001321,2.7E-10,0.0000000011,0.0000016,9.8E-10,1.2E-10,-1.2,1.1,-2.1,-2.7,-5,0.7,0.6,0.4,1.1,0.9,1.033,0.019,27.9318041215538
31,23,16,SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,19,99.9,98.81147186,-1.49855,1,-1.500679022,1,-1.49710679,1,34.24053821,1,34.40470554,1,1028.040461,1,7.421213357,323.723121,1,,9,0.01549908,1,0.00000003983,0.000000186,0.0003971,0.00000009851,0.00000001482,0.0000000013,0.0000000016,0.0000029,0.0000000029,5.4E-10,-3.1,0.6,-1.6,-1.7,-4.7,3.3,0.8,0.7,2.9,3.5,1.056,0.042,27.5593821418838
32,22,16,SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,21,29.8,29.45964658,-1.676,1,-1.676502992,1,-1.67124729,1,33.17349573,1,33.33356758,1,1026.84411,1,8.602886162,373.4582087,1,,9,0.01493978,1,0.00000004304,0.0000001895,0.0004161,0.000000105,0.0000000162,4.3E-10,0.0000000016,0.0000026,0.0000000011,1.3E-10,3.9,1.5,1.7,3.3,2.5,1,0.9,0.6,1.1,0.8,0.961,0.029,26.6992123290615
33,42,20,SO21_20-03,2021-08-14T16:32:58,89.60183333,17.01466667,1,4325.7,4236.283477,-0.6334,1,-0.92437769,1,-0.922965409,1,34.94248305,1,35.11159832,1,1047.844387,1,6.716825516,,9,,9,,9,0.00000004163,0.000000184,0.0003871,0.00000009532,0.00000001447,2.4E-10,8.8E-10,0.0000017,0.0000000029,5.3E-10,2,0.6,-2.1,-2.5,-4.2,0.6,0.5,0.4,2.9,3.5,1.08,0.043,28.1084830269433
34,41,20,SO21_20-03,2021-08-14T16:32:58,89.60183333,17.01466667,3,3997.6,3917.840037,-0.6698,1,-0.927211899,1,-0.925793866,1,34.94178132,1,35.11087507,1,1046.416477,1,6.723346037,296.4366129,1,,9,0.00883984,1,0.00000004176,0.0000001851,0.0003888,0.00000009766,0.00000001452,0.0000000014,0.0000000016,0.000002,0.000000002,5.3E-10,2.3,1.1,-1.6,-0.1,-3.9,3.4,0.9,0.5,2,3.5,1.019,0.019,28.1080183637537
35,40,20,SO21_20-03,2021-08-14T16:32:58,89.60183333,17.01466667,5,3500.1,3434.110064,-0.7099,1,-0.920012951,1,-0.918588997,1,34.93681576,1,35.10584146,1,1044.222479,1,6.72583413,296.0168533,1,,9,0.00898026,1,0.00000004158,0.0000001821,0.0003829,0.00000009535,0.00000001446,2.5E-10,0.0000000015,0.0000019,0.000000002,3.6E-10,1.9,-0.5,-3.1,-2.5,-4.3,0.6,0.8,0.5,2.1,2.4,1.052,0.016,28.10366253652
36,39,20,SO21_20-03,2021-08-14T16:32:58,89.60183333,17.01466667,7,2500.1,2458.615708,-0.7064,1,-0.835470316,1,-0.834111907,1,34.92378212,1,35.09264758,1,1039.728822,1,6.765815218,296.5385377,1,,9,0.00924682,1,0.00000004058,0.000000183,0.0003865,0.00000009492,0.00000001438,4.3E-10,0.0000000012,0.0000014,0.0000000016,2.4E-10,-0.5,0.1,-2,-2.7,-4.5,1,0.7,0.4,1.7,1.6,0.941,0.107,28.089458378158
37,38,20,SO21_20-03,2021-08-14T16:32:58,89.60183333,17.01466667,9,2000.2,1969.280111,-0.55955,1,-0.656523321,1,-0.655398821,1,34.92719964,1,35.09599257,1,1037.437916,1,6.722316481,295.832049,1,,9,0.00908736,1,0.00000004144,0.0000001982,0.0003952,0.00000009383,0.00000001445,3.5E-10,0.0000000013,0.00000099,0.0000000013,1.7E-10,1.7,8.6,0.7,-3.2,-3.4,0.8,0.7,0.3,1.3,1.2,1.075,0.021,28.084262594351
38,37,20,SO21_20-03,2021-08-14T16:32:58,89.60183333,17.01466667,11,1500.1,1478.651821,-0.4139,1,-0.481789332,1,-0.480841494,1,34.91606849,1,35.08446743,1,1035.114162,1,6.856845121,298.931211,1,,9,0.00923254,1,0.00000004129,0.0000001827,0.0003832,0.00000009506,0.00000001425,3E-10,8.1E-10,0.00000098,8.5E-10,1.1E-10,1.4,0.3,-1.9,-1.4,-4,0.7,0.4,0.3,0.9,0.8,1.046,0.016,28.0668650070684
39,36,20,SO21_20-03,2021-08-14T16:32:58,89.60183333,17.01466667,15,700,691.2720548,0.4743,1,0.442406877,1,0.442360342,1,34.88788302,1,35.05502142,1,1031.292752,1,6.946673875,301.5500402,1,,9,0.00962286,1,0.00000004134,0.0000001898,0.0003781,0.00000009271,0.00000001383,5.5E-10,8.4E-10,0.00000082,6.5E-10,1.1E-10,2,5.2,-0.9,-1,-3.4,1.4,0.5,0.2,0.7,0.8,1.003,0.015,27.9934536835665
40,35,20,SO21_20-03,2021-08-14T16:32:58,89.60183333,17.01466667,17,499.9,493.9807019,0.9922,1,0.968112822,1,0.967444252,1,34.88787459,1,35.05488509,1,1030.314221,1,6.926340145,300.2138411,1,,9,0.00957764,1,0.00000004102,0.0000001791,0.0003709,0.00000009146,0.00000001359,3.9E-10,0.0000000011,0.0000015,7.4E-10,1.4E-10,1.4,-0.1,-1.5,-0.7,-3.1,1,0.6,0.4,0.8,1,1.029,0.019,27.9600011173993
41,34,20,SO21_20-03,2021-08-14T16:32:58,89.60183333,17.01466667,19,246.6,243.8065144,1.4098,1,1.397588715,1,1.396609721,1,34.85803598,1,35.02476913,1,1029.069311,1,6.871859478,297.0653389,1,,9,0.00980374,1,0.00000004084,0.0000001775,0.0003651,0.00000008855,0.0000000131,5.5E-10,0.0000000035,0.0000021,0.0000000011,2.1E-10,1.2,-0.6,-1.9,-2.5,-5.1,1.4,1.9,0.6,1.2,1.5,1.015,0.027,27.9060353153734
42,33,20,SO21_20-03,2021-08-14T16:32:58,89.60183333,17.01466667,21,30.2,29.91311211,-1.697,1,-1.69747033,1,-1.691668972,1,32.74107859,1,32.89941362,1,1026.493978,1,8.637118897,376.0699662,1,,9,0.02034238,1,0.00000004227,0.0000001917,0.0004246,0.0000001059,0.00000001593,9.5E-10,0.000000001,0.0000021,8E-10,1.6E-10,1.8,2.4,3.4,3.8,0.3,2.3,0.6,0.5,0.8,1,1.006,0.026,26.3489413332618
43,53,28,SO21_28-03,2021-08-21T11:08:47,88.7395,-136.9016667,1,4016.9,3936.544852,-0.2534,1,-0.52522274,1,-0.524363993,1,34.95515806,1,35.12430761,1,1046.444803,1,6.542058399,287.1591145,1,,9,0.0084519,1,0.00000004219,0.000000187,0.0003861,0.00000009401,0.00000001446,4.2E-10,0.0000000016,0.000002,8.6E-10,1.2E-10,3.6,2.7,-1.3,-2.6,-2.8,1,0.9,0.5,0.9,0.8,0.975,0.013,28.1009741756027
44,52,28,SO21_28-03,2021-08-21T11:08:47,88.7395,-136.9016667,3,3000.1,2946.913091,-0.34525,1,-0.521526884,1,-0.520672302,1,34.95513869,1,35.1241352,1,1041.959837,1,6.54085725,286.5208934,1,,9,0.008678,1,0.00000004208,0.0000001833,0.0003847,0.00000009538,0.00000001448,4.2E-10,0.0000000015,0.000002,8.6E-10,1.1E-10,3.3,0.7,-1.6,-1.2,-2.6,1,0.8,0.5,0.9,0.8,0.984,0.014,28.1006609451636
45,51,28,SO21_28-03,2021-08-21T11:08:47,88.7395,-136.9016667,5,2500.1,2458.645822,-0.37725,1,-0.513033237,1,-0.512184655,1,34.9537185,1,35.12275032,1,1039.713742,1,6.548922105,286.1807963,1,,9,0.00886126,1,0.00000004417,0.0000001775,0.0003896,0.00000009445,0.00000001411,0.0000000015,0.0000000012,0.000002,8.8E-10,1.2E-10,8.5,-2.5,-0.3,-2.1,-5.1,3.6,0.6,0.5,0.9,0.8,0.974,0.013,28.0991450587485
