Station,Depth,TaylorSWIF,TaylorSWIF err,TaylorSWIFT,TaylorSWIFT err,DWARF,DWARF err,QSDWARF,QSDWARF err
16,296,-0.01409314559422492,0.027334564767137096,-0.0338472938707185,0.01778056221393912,-0.011197776093275325,0.030677255558779697,-0.013072252183117694,0.029681630470383795
16,494,0.021626669629565276,0.04076055383204439,0.012378329191891746,0.024957614759304806,0.02180204886205006,0.04239521490956266,0.02080185764934428,0.042960521349984675
16,691,-0.0159236425558289,0.03974423311412993,-0.028781873706212102,0.02524476936868657,-0.01457147134569059,0.04410221851199042,-0.015096015560403853,0.04376893879976027
16,987,-0.014245830787964264,0.03343522701265553,-0.009406731139070756,0.02503914555836588,-0.014345740103423377,0.03282001283377484,-0.014251690698939945,0.033087678059060224
16,1969,-0.016858511944065513,0.03176490663939701,-0.023024090267561692,0.020738028315524674,-0.01718827938860823,0.03218745772153936,-0.01719118991014923,0.032051153658331784
16,2946,-0.031127719998495174,0.031908554203842435,-0.02816619590531666,0.021031721735740316,-0.03138578489752575,0.03116656312883474,-0.031052417326413617,0.031081332277776774
5,296,-0.014891728961132,0.027223309870185897,-0.02825763370268486,0.017957977471145692,-0.013512004038301328,0.029756333232603488,-0.014517603202618523,0.0288224707646232
16,3434,-0.017330274912438548,0.046163539756506035,-0.01407093445741081,0.035643965584609416,-0.01786484866667859,0.04547828205115828,-0.01753926191309274,0.04555587175819485
16,3920,-0.011359278895973102,0.02993504586562166,-0.019351402875598223,0.021046557505733716,-0.010719768450014655,0.032079432134712295,-0.01096708876351371,0.031868079220492715
16,4335,-0.014451654252120139,0.03390096003897849,-0.015072202268843427,0.022290228839707014,-0.014942810401009976,0.03466880470581036,-0.014976638699422673,0.03480628790336466
20,29,0.07844245035890762,0.04609346347009498,0.047977804499304,0.03135920050318066,0.08660345265193992,0.05476954411802062,0.085295215960969,0.055043260502958456
20,242,-0.021537766849851314,0.056365295192704265,-0.028486723589800533,0.04073120029052261,-0.022039847728384188,0.06010349288197945,-0.021646319559750382,0.05925036168165336
20,493,-0.01964366699996789,0.03256773725075051,-0.018146527422432057,0.020772905392676216,-0.01991837634038196,0.033185443373249364,-0.019637001103897656,0.03288112257276137
20,691,0.03470741247117748,0.03074805355715787,0.015222728909079386,0.02025056076127528,0.03604989148427595,0.03219205726220421,0.03391839619501691,0.03270493182009418
20,1478,-0.02384352264118228,0.02460865084903303,-0.025856452759250748,0.016027148870111366,-0.02401281621082496,0.02522317670702989,-0.023858226128329663,0.025610580946733384
20,1969,0.05893213320300528,0.04903861611852011,0.034173632548990085,0.039153085728797686,0.06298602972319567,0.052505395469450704,0.059225608388224105,0.053624125410105986
20,2458,-0.02453086433309315,0.040350303321492316,-0.03494078033899373,0.024905727781351392,-0.024163534637479556,0.04362651847788521,-0.0240799529998611,0.04312452585891611
5,494,-0.042325036202371824,0.04421957884779187,-0.04457999517309752,0.03362131746941559,-0.04278663415790751,0.041418444773638756,-0.042226192826340436,0.04180059047744097
20,3434,-0.053276432221970316,0.044951422128195966,-0.04329138917487674,0.027698219113599237,-0.052988800849533724,0.0430118888880382,-0.05208857730240091,0.04292123553110334
20,3917,-0.014900774739327827,0.10005519268436233,-0.013952440794218535,0.05858663812695447,-0.01686311693160214,0.10142534549760067,-0.015315338592138406,0.09962975052140915
20,4236,-0.028041151490734273,0.03436073964964968,-0.025420204012472802,0.020871852915461106,-0.02807683082320389,0.03454058772704307,-0.027904231139725844,0.03366541961120362
28,29,0.12343245436270811,0.04625919623538414,0.09891548053244548,0.03118982415530874,0.12555857855865682,0.04793814595240886,0.126001091100995,0.04897565306931899
28,98,0.003327223275985336,0.04122700539784369,-0.005030872400035635,0.028662016530659785,0.0028211142102301245,0.0411146885520777,0.002474747509501718,0.04082162371467118
28,296,-0.0243305964184789,0.04309550185673068,-0.02751917141897553,0.030562306396424332,-0.02451911781386229,0.043188431007116536,-0.024229828438595447,0.04342381993454675
